model,final_nav,total_return,sharpe,max_drawdown,total_turnover,average_turnover,trade_count,code,stock,seed,turnover_penalty,rebalance_threshold,drawdown_penalty
Transaction-Cost-Aware R-PPO,1.2612014970000005,0.2612014970000005,1.0652654680414215,-0.12912716667731428,10.903124823576979,0.04524118184056838,49,sh.601628,China Life,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.3319574450000005,0.33195744500000046,1.320890375238781,-0.10135549130276933,9.34602980805135,0.03878020667241224,85,sh.601628,China Life,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.2950744520000002,0.29507445200000015,1.3590812121784628,-0.1085326673054603,0.885616231728275,0.0036747561482501035,8,sh.601628,China Life,2.0,0.005,0.05,0.0
PPO (Daily),1.2120265640000012,0.2120265640000012,0.9828097085894284,-0.11813397018492988,20.775236596279377,0.08620430122937502,163,sh.601628,China Life,0.0,0.001,0.05,
PPO (Daily),1.2062115040000005,0.20621150400000055,1.1732787269146954,-0.0857631660802134,16.54385466398547,0.06864669985056211,142,sh.601628,China Life,1.0,0.001,0.05,
PPO (Daily),1.1192398010000009,0.11923980100000087,0.7035690528739806,-0.11152474221517616,18.161218962897657,0.07535775503277035,148,sh.601628,China Life,2.0,0.001,0.05,
A2C (Daily),1.2645260560000002,0.26452605600000023,1.3427356830555222,-0.08896963692595539,1.8135199934197286,0.007524979225808003,23,sh.601628,China Life,0.0,0.001,0.05,
A2C (Daily),1.2491605239999999,0.24916052399999988,1.2886714727128037,-0.0963311048365505,1.001273793976189,0.004154663045544353,9,sh.601628,China Life,1.0,0.001,0.05,
A2C (Daily),1.2559991990000001,0.2559991990000001,1.2943936574106558,-0.09903020958914932,1.3211890505721309,0.0054821122430378875,12,sh.601628,China Life,2.0,0.001,0.05,
GARCH,1.1093937370000044,0.10939373700000443,0.4928311019380739,-0.20011202355718904,,,0,sh.601628,China Life,,,,
Buy&Hold,1.5091237450000001,0.5091237450000001,1.279159088347513,-0.19495443591762784,,,0,sh.601628,China Life,,,,
Transaction-Cost-Aware R-PPO,1.203192298,0.20319229800000005,0.9331088776322684,-0.1289330375490686,0.8910896133921069,0.003697467275485921,6,sh.601688,Huatai Securities,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.139758988,0.13975898800000008,0.9071183103489067,-0.09498051603337698,0.632361497938789,0.002623906630451407,4,sh.601688,Huatai Securities,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.314426995,0.31442699500000004,1.1620689851506236,-0.198647985908585,2.02001742631824,0.00838181504696365,9,sh.601688,Huatai Securities,2.0,0.005,0.05,0.0
PPO (Daily),1.0954101850000013,0.09541018500000131,0.7116235580452044,-0.11410381658773494,17.945292813591955,0.07446179590702055,149,sh.601688,Huatai Securities,0.0,0.001,0.05,
PPO (Daily),1.104032171000001,0.10403217100000095,0.6398343716867347,-0.11906233637289365,18.842500893229772,0.07818465100925216,150,sh.601688,Huatai Securities,1.0,0.001,0.05,
PPO (Daily),1.0583904490000007,0.05839044900000068,0.4491180673403161,-0.12058663978686512,9.462560696522864,0.03926373732997039,108,sh.601688,Huatai Securities,2.0,0.001,0.05,
A2C (Daily),1.1747782000000004,0.17477820000000044,0.9154696222776015,-0.11291166274438624,4.18844811867372,0.01737945277457975,52,sh.601688,Huatai Securities,0.0,0.001,0.05,
